rank,code,name,country,birthdate
1,JannikSinner,Jannik Sinner,ITA,2001-08-16
2,AlexanderZverev,Alexander Zverev,GER,1997-04-20
3,CarlosAlcaraz,Carlos Alcaraz,ESP,2003-05-05
4,FelixAugerAliassime,Felix Auger Aliassime,CAN,2000-08-08
5,AlexDeMinaur,Alex De Minaur,AUS,1999-02-17
6,BenShelton,Ben Shelton,USA,2002-10-09
7,NovakDjokovic,Novak Djokovic,SRB,1987-05-22
8,DaniilMedvedev,Daniil Medvedev,RUS,1996-02-11
9,FlavioCobolli,Flavio Cobolli,ITA,2002-05-06
10,TaylorFritz,Taylor Fritz,USA,1997-10-28
11,AlexanderBublik,Alexander Bublik,KAZ,1997-06-17
12,JiriLehecka,Jiri Lehecka,CZE,2001-11-08
13,CasperRuud,Casper Ruud,NOR,1998-12-22
14,LorenzoMusetti,Lorenzo Musetti,ITA,2002-03-03
15,LearnerTien,Learner Tien,USA,2005-12-02
16,AndreyRublev,Andrey Rublev,RUS,1997-10-20
17,FrancesTiafoe,Frances Tiafoe,USA,1998-01-20
18,LucianoDarderi,Luciano Darderi,ITA,2002-02-14
19,JakubMensik,Jakub Mensik,CZE,2005-09-01
20,AlejandroDavidovichFokina,Alejandro Davidovich Fokina,ESP,1999-06-05
21,ValentinVacherot,Valentin Vacherot,MON,1998-11-16
22,FranciscoCerundolo,Francisco Cerundolo,ARG,1998-08-13
23,ArthurFils,Arthur Fils,FRA,2004-06-12
24,TommyPaul,Tommy Paul,USA,1997-05-17
25,RafaelJodar,Rafael Jodar,ESP,2006-09-17
26,KarenKhachanov,Karen Khachanov,RUS,1996-05-21
27,JoaoFonseca,Joao Fonseca,BRA,2006-08-21
28,ArthurRinderknech,Arthur Rinderknech,FRA,1995-07-23
29,UgoHumbert,Ugo Humbert,FRA,1998-06-26
30,TomasMartinEtcheverry,Tomas Martin Etcheverry,ARG,1999-07-18
31,AlejandroTabilo,Alejandro Tabilo,CHI,1997-06-02
32,BrandonNakashima,Brandon Nakashima,USA,2001-08-03
33,IgnacioBuse,Ignacio Buse,PER,2004-03-25
34,MatteoArnaldi,Matteo Arnaldi,ITA,2001-02-22
35,ZizouBergs,Zizou Bergs,BEL,1999-06-03
36,ArthurFery,Arthur Fery,GBR,2002-07-12
37,AlexanderBlockx,Alexander Blockx,BEL,2005-04-08
38,CameronNorrie,Cameron Norrie,GBR,1995-08-23
39,DenisShapovalov,Denis Shapovalov,CAN,1999-04-15
40,CorentinMoutet,Corentin Moutet,FRA,1999-04-19
41,JanLennardStruff,Jan Lennard Struff,GER,1990-04-25
42,RaphaelCollignon,Raphael Collignon,BEL,2002-01-13
43,MatteoBerrettini,Matteo Berrettini,ITA,1996-04-12
44,JaumeMunar,Jaume Munar,ESP,1997-05-05
45,JuanManuelCerundolo,Juan Manuel Cerundolo,ARG,2001-11-15
