rank,name,code,country,birthdate
1,Jannik Sinner,JannikSinner,ITA,2001-08-16
2,Carlos Alcaraz,CarlosAlcaraz,ESP,2003-05-05
3,Alexander Zverev,AlexanderZverev,GER,1997-04-20
4,Felix Auger Aliassime,FelixAugerAliassime,CAN,2000-08-08
5,Ben Shelton,BenShelton,USA,2002-10-09
6,Alex De Minaur,AlexDeMinaur,AUS,1999-02-17
7,Novak Djokovic,NovakDjokovic,SRB,1987-05-22
8,Daniil Medvedev,DaniilMedvedev,RUS,1996-02-11
9,Taylor Fritz,TaylorFritz,USA,1997-10-28
10,Flavio Cobolli,FlavioCobolli,ITA,2002-05-06
11,Alexander Bublik,AlexanderBublik,KAZ,1997-06-17
12,Jiri Lehecka,JiriLehecka,CZE,2001-11-08
13,Andrey Rublev,AndreyRublev,RUS,1997-10-20
14,Casper Ruud,CasperRuud,NOR,1998-12-22
15,Karen Khachanov,KarenKhachanov,RUS,1996-05-21
16,Lorenzo Musetti,LorenzoMusetti,ITA,2002-03-03
17,Jakub Mensik,JakubMensik,CZE,2005-09-01
18,Luciano Darderi,LucianoDarderi,ITA,2002-02-14
19,Learner Tien,LearnerTien,USA,2005-12-02
20,Valentin Vacherot,ValentinVacherot,MON,1998-11-16
21,Arthur Fils,ArthurFils,FRA,2004-06-12
22,Alejandro Davidovich Fokina,AlejandroDavidovichFokina,ESP,1999-06-05
23,Rafael Jodar,RafaelJodar,ESP,2006-09-17
24,Arthur Rinderknech,ArthurRinderknech,FRA,1995-07-23
25,Joao Fonseca,JoaoFonseca,BRA,2006-08-21
26,Frances Tiafoe,FrancesTiafoe,USA,1998-01-20
27,Francisco Cerundolo,FranciscoCerundolo,ARG,1998-08-13
28,Tommy Paul,TommyPaul,USA,1997-05-17
29,Cameron Norrie,CameronNorrie,GBR,1995-08-23
30,Tomas Martin Etcheverry,TomasMartinEtcheverry,ARG,1999-07-18
31,Alejandro Tabilo,AlejandroTabilo,CHI,1997-06-02
32,Brandon Nakashima,BrandonNakashima,USA,2001-08-03
33,Ugo Humbert,UgoHumbert,FRA,1998-06-26
34,Matteo Arnaldi,MatteoArnaldi,ITA,2001-02-22
35,Ignacio Buse,IgnacioBuse,PER,2004-03-25
36,Corentin Moutet,CorentinMoutet,FRA,1999-04-19
37,Alexander Blockx,AlexanderBlockx,BEL,2005-04-08
38,Alex Michelsen,AlexMichelsen,USA,2004-08-25
39,Mariano Navone,MarianoNavone,ARG,2001-02-27
40,Zizou Bergs,ZizouBergs,BEL,1999-06-03
41,Tallon Griekspoor,TallonGriekspoor,NED,1996-07-02
42,Denis Shapovalov,DenisShapovalov,CAN,1999-04-15
43,Tomas Machac,TomasMachac,CZE,2000-10-13
44,Jaume Munar,JaumeMunar,ESP,1997-05-05
45,Juan Manuel Cerundolo,JuanManuelCerundolo,ARG,2001-11-15
46,Adrian Mannarino,AdrianMannarino,FRA,1988-06-29
47,Marin Cilic,MarinCilic,CRO,1988-09-28
48,Matteo Berrettini,MatteoBerrettini,ITA,1996-04-12
49,Miomir Kecmanovic,MiomirKecmanovic,SRB,1999-08-31
50,Nuno Borges,NunoBorges,POR,1997-02-19
51,Raphael Collignon,RaphaelCollignon,BEL,2002-01-13
52,Thiago Agustin Tirante,ThiagoAgustinTirante,ARG,2001-04-10
53,Terence Atmane,TerenceAtmane,FRA,2002-01-09
54,Gabriel Diallo,GabrielDiallo,CAN,2001-09-24
55,Botic Van De Zandschulp,BoticVanDeZandschulp,NED,1995-10-04
56,Sebastian Baez,SebastianBaez,ARG,2000-12-28
57,Camilo Ugo Carabelli,CamiloUgoCarabelli,ARG,1999-06-17
58,Martin Landaluce,MartinLandaluce,ESP,2006-01-08
59,Yannick Hanfmann,YannickHanfmann,GER,1991-11-13
60,Sebastian Korda,SebastianKorda,USA,2000-07-05
61,Fabian Marozsan,FabianMarozsan,HUN,1999-10-08
62,Zachary Svajda,ZacharySvajda,USA,2002-11-29
63,Roman Andres Burruchaga,RomanAndresBurruchaga,ARG,2002-01-23
64,Holger Rune,HolgerRune,DEN,2003-04-29
65,Vit Kopriva,VitKopriva,CZE,1997-06-15
66,Lorenzo Sonego,LorenzoSonego,ITA,1995-05-11
67,Ethan Quinn,EthanQuinn,USA,2004-03-12
68,Hamad Medjedovic,HamadMedjedovic,SRB,2003-07-18
69,Aleksandar Kovacevic,AleksandarKovacevic,USA,1998-08-29
70,Dino Prizmic,DinoPrizmic,CRO,2005-08-05
71,Pablo Carreno Busta,PabloCarrenoBusta,ESP,1991-07-12
72,Adolfo Daniel Vallejo,AdolfoDanielVallejo,PAR,2004-04-28
73,Jenson Brooksby,JensonBrooksby,USA,2000-10-26
74,Valentin Royer,ValentinRoyer,FRA,2001-05-29
75,Marton Fucsovics,MartonFucsovics,HUN,1992-02-08
76,Kamil Majchrzak,KamilMajchrzak,POL,1996-01-13
77,Jan Lennard Struff,JanLennardStruff,GER,1990-04-25
78,Mattia Bellucci,MattiaBellucci,ITA,2001-06-01
79,James Duckworth,JamesDuckworth,AUS,1992-01-21
80,Marco Trungelliti,MarcoTrungelliti,ARG,1990-01-31
81,Arthur Cazaux,ArthurCazaux,FRA,2002-08-23
82,Daniel Merida Aguilar,DanielMeridaAguilar,ESP,2004-09-26
83,Jesper De Jong,JesperDeJong,NED,2000-05-31
84,Stefanos Tsitsipas,StefanosTsitsipas,GRE,1998-08-12
85,Daniel Altmaier,DanielAltmaier,GER,1998-09-12
86,Reilly Opelka,ReillyOpelka,USA,1997-08-28
87,Emilio Nava,EmilioNava,USA,2001-12-02
88,Marcos Giron,MarcosGiron,USA,1993-07-24
89,Francisco Comesana,FranciscoComesana,ARG,2000-10-06
90,Alexei Popyrin,AlexeiPopyrin,AUS,1999-08-05
91,Adam Walton,AdamWalton,AUS,1999-04-17
92,Quentin Halys,QuentinHalys,FRA,1996-10-26
93,Giovanni Mpetshi Perricard,GiovanniMpetshiPerricard,FRA,2003-07-08
94,Jaime Faria,JaimeFaria,POR,2003-08-06
95,Eliot Spizzirri,EliotSpizzirri,USA,2001-12-23
96,Hubert Hurkacz,HubertHurkacz,POL,1997-02-11
97,Alexander Shevchenko,AlexanderShevchenko,KAZ,2000-11-29
98,Luca Van Assche,LucaVanAssche,FRA,2004-05-11
99,Benjamin Bonzi,BenjaminBonzi,FRA,1996-06-09
100,Aleksandar Vukic,AleksandarVukic,AUS,1996-04-06
101,Yibing Wu,YibingWu,CHN,1999-10-14
102,Alex Molcan,AlexMolcan,SVK,1997-12-01
103,Damir Dzumhur,DamirDzumhur,BIH,1992-05-20
104,Sho Shimabukuro,ShoShimabukuro,JPN,1997-07-30
105,Jan Choinski,JanChoinski,GBR,1996-06-10
106,Rinky Hijikata,RinkyHijikata,AUS,2001-02-23
107,Dalibor Svrcina,DaliborSvrcina,CZE,2002-10-02
108,Coleman Wong,ColemanWong,HKG,2004-06-06
109,Andrea Pellegrino,AndreaPellegrino,ITA,1997-03-23
110,Stan Wawrinka,StanWawrinka,SUI,1985-03-28
111,Titouan Droguet,TitouanDroguet,FRA,2001-06-15
112,Jack Draper,JackDraper,GBR,2001-12-22
113,Cristian Garin,CristianGarin,CHI,1996-05-30
114,Martin Damm,MartinDamm,USA,2003-09-30
115,Patrick Kypson,PatrickKypson,USA,1999-10-28
116,Roberto Bautista Agut,RobertoBautistaAgut,ESP,1988-04-14
117,Leandro Riedi,LeandroRiedi,SUI,2002-01-27
118,Nikoloz Basilashvili,NikolozBasilashvili,GEO,1992-02-23
