Player;Date;Tournament;Surface;Level;Result;Round;Score;Opponent;A%;DF%;vA%;Pts/SG;MatchID;Year;IsTop100;Rank
Abedallah Shelbayh;2026-07-27;ATP Washington;Hard;A;L;Q2;4-6 7-5 7-6(4);Martin Damm;7,48;2,8;12,26;6,29;2026-0418-359;2026,0;False;
Abedallah Shelbayh;2026-07-27;ATP Washington;Hard;A;W;Q1;6-4 7-6(2);Billy Harris;2,9;2,9;6,49;6,27;2026-0418-349;2026,0;False;
Abedallah Shelbayh;2026-07-20;Bloomfield Hills Challenger;Hard;C;L;R32;6-4 6-1;Michael Zheng;1,72;6,9;23,91;6,44;2026-2883-368;2026,0;False;267,0
Abedallah Shelbayh;2026-07-20;Bloomfield Hills CH;Hard;C;L;R32;6-4 6-1;Michael Zheng;1,72;6,9;23,91;6,44;2026-2883-358;2026,0;False;
Abedallah Shelbayh;2026-06-21;Mallorca;Grass;A;L;R16;6-2 6-4;Grigor Dimitrov;1,43;8,57;10,17;7,78;2026-8994-372;2026,0;False;
Abedallah Shelbayh;2026-06-21;Mallorca;Grass;A;W;R32;7-5 6-4;Corentin Moutet;1,61;4,84;8,11;5,64;2026-8994-361;2026,0;False;
Abedallah Shelbayh;2026-06-21;Mallorca;Grass;A;L;Q2;6-3 7-6(4);Marc Polmans;5,19;2,6;11,11;7,7;2026-8994-356;2026,0;False;
Abedallah Shelbayh;2026-06-21;Mallorca;Grass;A;W;Q1;6-4 6-3;Alexander Shevchenko;1,72;5,17;3,39;6,44;2026-8994-350;2026,0;False;
Abedallah Shelbayh;2026-06-08;Bratislava CH;Clay;C;L;R32;7-6(2) 6-2;Petr Brunclik;2,67;8,0;13,33;7,5;2026-9003-366;2026,0;False;
Abedallah Shelbayh;2026-06-08;Bratislava CH;Clay;C;W;Q2;7-6(0) 2-6 6-0;Akira Santillan;4,4;4,4;2,27;7,0;2026-9003-349;2026,0;False;
Abedallah Shelbayh;2026-06-01;Heilbronn CH;Clay;C;L;R32;6-3 6-4;Marco Trungelliti;0,0;4,62;14,81;7,22;2026-0460-370;2026,0;False;
Abedallah Shelbayh;2026-06-01;Heilbronn CH;Clay;C;W;Q2;6-4 7-5;Raphael Perot;3,17;4,76;0,0;5,73;2026-0460-352;2026,0;False;
Abedallah Shelbayh;2026-05-25;Kosice CH;Clay;C;L;R32;6-4 6-1;Hynek Barton;3,17;6,35;13,64;7,0;2026-3097-357;2026,0;False;
Abedallah Shelbayh;2026-05-11;Oeiras 4 CH;Clay;C;L;Q1;4-6 6-4 6-2;Tiago Torres;1,16;3,49;5,0;6,14;2026-9475-346;2026,0;False;
Abedallah Shelbayh;2026-04-13;Oeiras 3 CH;Clay;C;L;Q1;7-6(5) 6-3;Pablo Llamas Ruiz;0,0;2,82;1,37;7,1;2026-9514-348;2026,0;False;
Abedallah Shelbayh;2026-04-06;Madrid CH;Clay;C;L;R32;6-1 2-6 6-1;Zsombor Piros;1,45;2,9;4,11;6,27;2026-9687-363;2026,0;False;
Abedallah Shelbayh;2026-04-06;Madrid CH;Clay;C;L;Q2;4-6 6-1 3-0 RET;Oriol Roca Batalla;8,97;1,28;8,47;7,8;2026-9687-350;2026,0;False;
Abedallah Shelbayh;2026-04-06;Madrid CH;Clay;C;W;Q1;6-3 5-7 6-3;Alexander Donski;2,97;4,95;7,02;6,73;2026-9687-340;2026,0;False;
Abedallah Shelbayh;2026-03-30;Menorca CH;Clay;C;L;R32;3-6 6-3 6-1;Miguel Damas;1,19;4,76;0,0;7,0;2026-2987-364;2026,0;False;
Abedallah Shelbayh;2026-03-23;Alicante CH;Clay;C;L;R32;6-7(6) 7-6(4) 6-1;Vilius Gaubas;0,87;0,87;0,71;7,67;2026-2955-359;2026,0;False;
Abedallah Shelbayh;2026-03-23;Alicante CH;Clay;C;L;Q2;6-7(3) 7-6(3) 6-1;Svyatoslav Gulin;2,97;4,95;1,79;6,73;2026-2955-352;2026,0;False;
Abedallah Shelbayh;2026-03-23;Alicante CH;Clay;C;W;Q1;6-3 6-4;Alberto Garcia Garcia;3,51;10,53;0,0;6,33;2026-2955-344;2026,0;False;
Abedallah Shelbayh;2026-03-16;Murcia CH;Clay;C;L;R32;6-3 3-6 7-5;Justin Engel;1,0;4,0;3,19;6,67;2026-9171-361;2026,0;False;
Abedallah Shelbayh;2026-03-09;Hersonissos 2 CH;Hard;C;L;R16;2-6 6-1 7-6(5);Kimmer Coppejans;0,0;6,19;3,41;6,93;2026-2985-373;2026,0;False;
Abedallah Shelbayh;2026-03-09;Hersonissos 2 CH;Hard;C;W;R32;6-2 4-2 RET;Javier Barranco Cosano;10,26;5,13;1,92;5,57;2026-2985-360;2026,0;False;
Abedallah Shelbayh;2026-03-02;Hersonissos 1 CH;Hard;C;L;QF;6-4 6-3;Toby Samuel;0,0;6,94;5,0;7,2;2026-2983-380;2026,0;False;
Abedallah Shelbayh;2026-03-02;Hersonissos 1 CH;Hard;C;W;R16;1-6 6-2 6-2;Melios Efstathiou;2,94;4,41;4,29;5,67;2026-2983-373;2026,0;False;
Abedallah Shelbayh;2026-03-02;Hersonissos 1 CH;Hard;C;W;R32;6-4 6-2;Pavlos Tsitsipas;1,69;5,08;3,08;6,56;2026-2983-360;2026,0;False;
Abedallah Shelbayh;2026-02-09;Tenerife 2 CH;Hard;C;L;R32;6-3 5-7 7-5;Stefano Travaglia;2,59;2,59;6,17;6,82;2026-2839-366;2026,0;False;
