Player;Date;Tournament;Surface;Level;Result;Round;Score;Opponent;A%;DF%;vA%;Pts/SG;MatchID;Year;IsTop100
Ajla Tomljanovic;2026-06-22;Eastbourne;Grass;I;L;R16;6-2 5-7 6-4;Tereza Valentova;2,91;6,8;4,35;6,87;2026-710-292;2026;False
Ajla Tomljanovic;2026-06-22;Eastbourne;Grass;I;W;Q1;6-2 6-4;Camila Osorio;0,0;6,25;4,62;5,33;2026-710-253;2026;False
Ajla Tomljanovic;2026-06-22;Eastbourne;Grass;I;W;Q2;6-1 7-5;Veronika Erjavec;3,51;10,53;2,17;5,7;2026-710-264;2026;False
Ajla Tomljanovic;2026-06-22;Eastbourne;Grass;I;W;R32;6-2 6-7(5) 7-5;Elisabetta Cocciaretto;1,98;7,92;3,85;6,31;2026-710-282;2026;False
Ajla Tomljanovic;2026-06-08;WTA 'S-Hertogenbosch;Grass;W;W;R32;6-3 6-1;Jessica Bouzas Maneiro;0,0;6,0;0,0;6,25;2026-822-288;2026;False
Ajla Tomljanovic;2026-06-08;WTA 'S-Hertogenbosch;Grass;W;W;R16;4-6 6-4 7-5;Dayana Yastremska;1,69;5,93;4,63;7,38;2026-822-294;2026;False
Ajla Tomljanovic;2026-06-08;WTA 'S-Hertogenbosch;Grass;W;W;R32;6-3 6-1;Jessica Bouzas Maneiro;0,0;6,0;0,0;6,25;2026-822-283;2026;False
Ajla Tomljanovic;2026-06-08;s Hertogenbosch;Grass;I;L;SF;6-4 6-2;Robin Montgomery;2,04;4,08;21,15;5,44;2026-822-299;2026;False
Ajla Tomljanovic;2026-06-08;s Hertogenbosch;Grass;I;W;QF;6-4 6-4;Caty Mcnally;3,33;3,33;6,25;6,0;2026-822-296;2026;False
Ajla Tomljanovic;2026-06-08;s Hertogenbosch;Grass;I;W;R16;4-6 6-4 7-5;Dayana Yastremska;1,69;5,93;4,63;7,38;2026-822-290;2026;False
Ajla Tomljanovic;2026-06-08;s Hertogenbosch;Grass;I;W;R32;6-3 6-1;Jessica Bouzas Maneiro;0,0;6,0;0,0;6,25;2026-822-279;2026;False
Ajla Tomljanovic;2026-06-01;Birmingham 125;Grass;C;L;R32;7-6(4) 3-2 RET;Katie Swan;1,49;10,45;9,43;8,38;2026-1126-273;2026;False
Ajla Tomljanovic;2026-05-18;Rabat;Clay;I;L;R32;6-3 7-5;Sada Nahimana;5,63;12,68;5,19;6,45;2026-1005-283;2026;False
Ajla Tomljanovic;2026-05-05;Rome;Clay;PM;L;R128;7-5 6-4;Noemi Basiletti;1,06;6,38;0,0;8,55;2026-709-188;2026;False
Ajla Tomljanovic;2026-05-05;Rome;Clay;PM;L;Q2;7-6(5) 5-7 6-3;Leolia Jeanjean;2,68;2,68;5,43;7,0;2026-709-168;2026;False
Ajla Tomljanovic;2026-05-05;Rome;Clay;PM;W;Q1;7-5 6-1;Marta Lombardini;5,17;5,17;2,06;6,44;2026-709-151;2026;False
Ajla Tomljanovic;2026-04-27;Vic 125;Clay;C;L;R32;6-4 2-6 6-3;Sara Sorribes Tormo;0,0;8,99;0,0;6,36;2026-2081-280;2026;False
Ajla Tomljanovic;2026-04-21;Madrid;Clay;PM;L;R128;7-6(7) 6-4;Dalma Galfi;1,43;15,71;8,14;6,36;2026-1038-211;2026;False
Ajla Tomljanovic;2026-03-30;Charleston;Clay;P;L;R64;3-6 6-1 6-4;Donna Vekic;5,15;7,22;7,37;7,46;2026-804-252;2026;False
Ajla Tomljanovic;2026-03-17;Miami;Hard;PM;L;R64;6-1 5-7 6-4;Amanda Anisimova;2,06;11,34;2,44;6,47;2026-902-253;2026;False
Ajla Tomljanovic;2026-03-17;Miami;Hard;PM;W;R128;6-3 6-4;Simona Waltert;4,48;2,99;1,32;6,7;2026-902-204;2026;False
Ajla Tomljanovic;2026-03-04;Indian Wells;Hard;PM;L;R32;7-5 5-7 6-1;Jasmine Paolini;3,7;4,63;6,74;6,75;2026-609-278;2026;False
Ajla Tomljanovic;2026-03-04;Indian Wells;Hard;PM;W;R128;7-5 6-2;Elena Gabriela Ruse;7,14;8,93;3,08;5,6;2026-609-208;2026;False
Ajla Tomljanovic;2026-03-04;Indian Wells;Hard;PM;W;R64;6-3 6-1;Xin Yu Wang;3,77;11,32;2,0;6,62;2026-609-255;2026;False
