rank,name,code,country,birthdate
1,Aryna Sabalenka,ArynaSabalenka,BLR,1998-05-05
2,Elena Rybakina,ElenaRybakina,KAZ,1999-06-17
3,Iga Swiatek,IgaSwiatek,POL,2001-05-31
4,Jessica Pegula,JessicaPegula,USA,1994-02-24
5,Amanda Anisimova,AmandaAnisimova,USA,2001-08-31
6,Mirra Andreeva,MirraAndreeva,RUS,2007-04-29
7,Coco Gauff,CocoGauff,USA,2004-03-13
8,Elina Svitolina,ElinaSvitolina,UKR,1994-09-12
9,Victoria Mboko,VictoriaMboko,CAN,2006-08-26
10,Karolina Muchova,KarolinaMuchova,CZE,1996-08-21
11,Belinda Bencic,BelindaBencic,SUI,1997-03-10
12,Marta Kostyuk,MartaKostyuk,UKR,2002-06-28
13,Linda Noskova,LindaNoskova,CZE,2004-11-17
14,Jasmine Paolini,JasminePaolini,ITA,1996-01-04
15,Naomi Osaka,NaomiOsaka,JPN,1997-10-16
16,Diana Shnaider,DianaShnaider,RUS,2004-04-02
17,Ekaterina Alexandrova,EkaterinaAlexandrova,RUS,1994-11-15
18,Sorana Cirstea,SoranaCirstea,ROU,1990-04-07
19,Iva Jovic,IvaJovic,USA,2007-12-06
20,Anna Kalinskaya,AnnaKalinskaya,RUS,1998-12-02
21,Maja Chwalinska,MajaChwalinska,POL,2001-10-11
22,Elise Mertens,EliseMertens,BEL,1995-11-17
23,Leylah Fernandez,LeylahFernandez,CAN,2002-09-06
24,Clara Tauson,ClaraTauson,DEN,2002-12-21
25,Emma Navarro,EmmaNavarro,USA,2001-05-18
26,Madison Keys,MadisonKeys,USA,1995-02-17
27,Anastasia Potapova,AnastasiaPotapova,RUS,2001-03-30
28,Marie Bouzkova,MarieBouzkova,CZE,1998-07-21
29,Ann Li,AnnLi,USA,2000-06-26
30,Hailey Baptiste,HaileyBaptiste,USA,2001-11-03
31,Xin Yu Wang,XinYuWang,CHN,2001-09-26
32,Katerina Siniakova,KaterinaSiniakova,CZE,1996-05-10
33,Alexandra Eala,AlexandraEala,PHI,2005-05-23
34,Cristina Bucsa,CristinaBucsa,ESP,1998-01-01
35,Liudmila Samsonova,LiudmilaSamsonova,RUS,1998-11-11
36,Jelena Ostapenko,JelenaOstapenko,LAT,1997-06-08
37,Maria Sakkari,MariaSakkari,GRE,1995-07-25
38,Jaqueline Cristian,JaquelineCristian,ROU,1998-06-05
39,Mccartney Kessler,MccartneyKessler,USA,1999-07-08
40,Janice Tjen,JaniceTjen,INA,2002-05-06
41,Elisabetta Cocciaretto,ElisabettaCocciaretto,ITA,2001-01-25
42,Emma Raducanu,EmmaRaducanu,GBR,2002-11-13
43,Magdalena Frech,MagdalenaFrech,POL,1997-12-15
44,Laura Siegemund,LauraSiegemund,GER,1988-03-04
45,Barbora Krejcikova,BarboraKrejcikova,CZE,1995-12-18
46,Sara Bejlek,SaraBejlek,CZE,2006-01-31
47,Tereza Valentova,TerezaValentova,CZE,2007-02-20
48,Marketa Vondrousova,MarketaVondrousova,CZE,1999-06-28
49,Dayana Yastremska,DayanaYastremska,UKR,2000-05-15
50,Petra Marcinko,PetraMarcinko,CRO,2005-12-04
51,Oleksandra Oliynykova,OleksandraOliynykova,UKR,2001-01-03
52,Tatjana Maria,TatjanaMaria,GER,1987-08-08
53,Maya Joint,MayaJoint,AUS,2006-04-16
54,Jessica Bouzas Maneiro,JessicaBouzasManeiro,ESP,2002-09-24
55,Diane Parry,DianeParry,FRA,2002-09-01
56,Solana Sierra,SolanaSierra,ARG,2004-06-17
